Dátum;ATS;AUD;BEF;CAD;CHF;DEM;DKK;ESP;FIM;FRF;GBP;GRD;IEP;ITL;JPY;LUF;NLG;NOK;PTE;SEK;USD;XCU;XDR;XEU
16.3.1994;2,75;23,588;93,889;24,056;22,773;19,342;4,952;23,574;5,932;5,689;48,905;13,293;47,049;19,596;30,85;93,889;17,22;4,465;18,841;4,155;32,794;39,244;45,974;37,375
17.3.1994;2,748;23,438;93,87;24,061;22,783;19,334;4,95;23,538;5,908;5,685;48,778;13,272;46,898;19,601;30,927;93,87;17,208;4,465;18,806;4,164;32,808;39,202;45,861;37,335
18.3.1994;2,753;23,366;94,106;23,985;22,829;19,377;4,955;23,593;5,922;5,695;48,873;13,293;46,932;19,619;30,914;94,106;17,241;4,471;18,824;4,171;32,735;39,273;45,755;37,403
21.3.1994;2,752;23,34;93,995;23,938;22,789;19,36;4,948;23,593;5,95;5,684;48,806;13,265;46,948;19,579;30,883;93,995;17,219;4,464;18,815;4,176;32,767;39,239;45,884;37,37
22.3.1994;2,749;23,424;93,906;24,036;22,816;19,345;4,933;23,601;5,925;5,677;48,718;13,252;46,885;19,558;30,896;93,906;17,208;4,458;18,808;4,166;32,858;39,203;45,975;37,336
23.3.1994;2,757;23,176;94,134;23,957;22,918;19,397;4,943;23,655;5,91;5,683;48,641;13,282;46,836;19,624;30,916;94,134;17,252;4,468;18,839;4,166;32,762;39,264;45,754;37,394
24.3.1994;2,754;23,205;93,98;24,01;22,887;19,377;4,939;23,668;5,909;5,673;48,723;13,245;46,903;19,612;30,822;93,98;17,23;4,463;18,828;4,169;32,733;39,247;45,84;37,378
25.3.1994;2,76;23,252;94,086;23,818;22,868;19,419;4,938;23,68;5,876;5,68;48,788;13,247;47,014;19,611;30,687;94,086;17,266;4,469;18,834;4,146;32,667;39,287;45,68;37,416
28.3.1994;2,777;23,016;94,573;23,621;22,979;19,538;4,961;23,73;5,896;5,702;48,645;13,277;46,872;19,647;31,02;94,573;17,365;4,486;18,884;4,153;32,462;39,44;45,453;37,562
29.3.1994;2,769;23,165;94,482;23,694;22,88;19,487;4,946;23,717;5,876;5,695;48,724;13,266;46,991;19,883;31,038;94,482;17,321;4,475;18,869;4,13;32,558;39,403;45,928;37,527
30.3.1994;2,773;22,951;94,68;23,637;22,987;19,504;4,952;23,76;5,903;5,701;48,669;13,246;46,972;19,91;31,444;94,68;17,353;4,48;18,876;4,128;32,513;39,478;45,747;37,598
31.3.1994;2,767;22,889;94,484;23,678;22,923;19,472;4,945;23,768;5,886;5,697;48,203;13,236;46,633;19,989;31,692;94,484;17,315;4,468;18,76;4,131;32,642;39,371;46,101;37,496
5.4.1994;2,77;22,81;94,6;23,498;23,092;19,488;4,957;23,902;5,955;5,705;48,268;13,221;46,707;20,202;31,67;94,6;17,343;4,479;19,049;4,153;32,526;39,449;45,853;37,57
6.4.1994;2,753;23,02;93,975;23,484;23,021;19,363;4,929;23,811;5,977;5,664;48,06;13,141;46,462;20,049;31,753;93,975;17,237;4,455;18,903;4,132;32,741;39,198;45,97;37,331
7.4.1994;2,735;23,24;93,423;23,839;22,808;19,24;4,913;23,784;5,938;5,631;48,412;13,106;46,532;19,864;31,474;93,423;17,144;4,44;18,975;4,138;32,969;38,945;46,34;37,09
8.4.1994;2,739;23,374;93,418;23,793;22,779;19,261;4,92;23,783;5,965;5,624;48,443;13,122;46,52;20,009;31,572;93,418;17,16;4,443;19,067;4,17;32,939;39,1;45,985;37,238
